"Brand","Model","Price_in_Pounds","Transmission","Fuel_Type","Mileage_in_Miles","Release_Year"
"BMW","iX2 xDrive30 M Sport",42500,"Automatic","electric",13721,2024
"BMW","i5 eDrive40 M Sport Saloon",52699,"Automatic","electric",7681,2024
"BMW","iX1 eDrive20 M Sport",35000,"Automatic","electric",5686,2024
"BMW","iX3 M Sport Pro",48000,"Automatic","electric",8421,2024
"BMW","i5 eDrive40 M Sport Saloon",48990,"Automatic","electric",3022,2024
"BMW","i5 M60 Saloon",69490,"Automatic","electric",2500,2024
"BMW","iX2 xDrive30 M Sport",41335,"Automatic","electric",6822,2024
"BMW","i4 eDrive35 Sport",36000,"Automatic","electric",6000,2024
"BMW","i5 eDrive40 M Sport Touring",56990,"Automatic","electric",6300,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",47895,"Automatic","electric",2729,2023
"BMW","i4 eDrive35 Sport",39000,"Automatic","electric",6000,2024
"BMW","i4 M50",50799,"Automatic","electric",8626,2024
"BMW","iX2 xDrive30 M Sport",42000,"Automatic","electric",14052,2024
"BMW","iX1 xDrive30 M Sport",49950,"Automatic","electric",7018,2024
"BMW","iX xDrive40 M Sport",51000,"Automatic","electric",8454,2024
"BMW","iX1 eDrive20 Sport",32902,"Automatic","electric",5067,2024
"BMW","i4 eDrive35 M Sport",50000,"Automatic","electric",9138,2024
"BMW","iX1 eDrive20 M Sport",35000,"Automatic","electric",8001,2023
"BMW","i5 M60 Saloon",62815,"Automatic","electric",1593,2023
"BMW","i5 eDrive40 M Sport Saloon",40902,"Automatic","electric",6436,2023
"BMW","iX1 eDrive20 M Sport",34498,"Automatic","electric",2300,2023
"BMW","iX2 xDrive30 M Sport",42000,"Automatic","electric",10000,2024
"BMW","i5 eDrive40 M Sport Pro Touring",54000,"Automatic","electric",7900,2024
"BMW","i5 eDrive40 M Sport Pro Touring",50995,"Automatic","electric",11938,2024
"BMW","iX2 xDrive30 M Sport",44000,"Automatic","electric",6001,2024
"BMW","iX1 eDrive20 M Sport",33750,"Automatic","electric",5691,2024
"BMW","iX xDrive40 M Sport",55000,"Automatic","electric",13001,2024
"BMW","iX3 M Sport",43000,"Automatic","electric",5001,2024
"BMW","i5 eDrive40 M Sport Pro Touring",59000,"Automatic","electric",7900,2024
"BMW","iX xDrive40 M Sport",51000,"Automatic","electric",12200,2024
"BMW","i7 eDrive50 M Sport",70000,"Automatic","electric",9000,2024
"BMW","i4 eDrive35 Sport",33990,"Automatic","electric",6610,2024
"BMW","i5 eDrive40 M Sport Pro Touring",53590,"Automatic","electric",12000,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",55000,"Automatic","electric",4917,2024
"BMW","i5 M60 xDrive Touring",89750,"Automatic","electric",16269,2024
"BMW","iX xDrive40 M Sport",58000,"Automatic","electric",6383,2024
"BMW","iX2 xDrive30 M Sport",40000,"Automatic","electric",6414,2024
"BMW","iX2 xDrive30 M Sport",40000,"Automatic","electric",7913,2024
"BMW","iX3 M Sport Pro",48000,"Automatic","electric",8421,2024
"BMW","iX2 xDrive30 M Sport",45000,"Automatic","electric",12232,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",48842,"Automatic","electric",12505,2024
"BMW","iX2 xDrive30 M Sport",40802,"Automatic","electric",2200,2024
"BMW","iX3 M Sport Pro",45950,"Automatic","electric",8421,2024
"BMW","i5 eDrive40 M Sport Saloon",42995,"Automatic","electric",8485,2024
"BMW","iX2 eDrive20 M Sport",35816,"Automatic","electric",3000,2024
"BMW","i5 eDrive40 M Sport Touring",52950,"Automatic","electric",5825,2024
"BMW","i5 eDrive40 M Sport Touring",57990,"Automatic","electric",6000,2024
"BMW","iX2 xDrive30 M Sport",49990,"Automatic","electric",7913,2024
"BMW","i5 eDrive40 M Sport Touring",55500,"Automatic","electric",6000,2024
"BMW","iX xDrive40 M Sport",48000,"Automatic","electric",8454,2023
"BMW","iX M60",59000,"Automatic","electric",28202,2022
"BMW","iX1 eDrive20 M Sport",36898,"Automatic","electric",5295,2023
"BMW","i5 M60 Saloon",64500,"Automatic","electric",6495,2024
"BMW","iX xDrive50 M Sport",61000,"Automatic","electric",16425,2024
"BMW","i5 eDrive40 M Sport Saloon",41800,"Automatic","electric",13954,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",48500,"Automatic","electric",6542,2024
"BMW","iX2 xDrive30 M Sport",36500,"Automatic","electric",9454,2024
"BMW","iX2 xDrive30 M Sport",38400,"Automatic","electric",3251,2024
"BMW","iX2 xDrive30 M Sport",38400,"Automatic","electric",3021,2024
